N°,Nombre / Descripción, PRECIO POR UNIDAD X MAYOR,CANT. MINIMA X MAYOR, PRECIO X MAYOR,TOTAL,LINK DE PRODUCTOS
,Cartulina Negro Chica 50 X 65 Cm, S/  0.52 ,100, S/  52.00 ,,https://clip.com.pe/producto/cartulina-negro-chica-50-x-65-cm-118
,Cinta De Embalaje Yimi 2''X70 Yd Transparente, S/  1.33 ,36, S/  47.88 ,,https://clip.com.pe/producto/cinta-de-embalaje-pegafan-transparente-2-x-110-yd-eco-15957002
,Cinta Masking Tape Pegafan 1 1/2 X 40 Yd,,, S/  -   ,,Cinta Masking Tape Pegafan 1 1/2 X 40 Yd | Clip
,"Cinta Masking Tape Pegafan 1 1/2"" X 40 Yd",,, S/  -   ,,https://clip.com.pe/producto/cinta-masking-tape-pegafan-1-12-x-40-yd-388
,Cinta Masking Tape Pegafan 1'' X 40 Yd,,, S/  -   ,,https://clip.com.pe/producto/cinta-masking-tape-pegafan-1-x-40-yd-386
,Cinta Masking Tape Pegafan 1/2'' X 40 Yd,,, S/  -   ,,https://clip.com.pe/producto/cinta-masking-tape-pegafan-12-x-40-yd-382
,Cinta Masking Tape Pegafan 2'' X 40 Yd,,, S/  -   ,,https://clip.com.pe/producto/cinta-masking-tape-pegafan-2-x-40-yd-390
,Cinta Masking Tape Pegafan 3/4'' X 40 Yd,,, S/  -   ,,https://clip.com.pe/producto/cinta-masking-tape-pegafan-34-x-40-yd-384
,Cola Artesco Con Aplicador 250 G, S/  2.42 ,12, S/  29.04 ,,https://clip.com.pe/producto/cola-artesco-con-aplicador-250-g-28823
,Cola Artesco Con Aplicador 57 G, S/  1.47 ,12, S/  17.64 ,,https://clip.com.pe/producto/cola-artesco-con-aplicador-57-g-2035
,Cola Faber Castell Pega Bien X110G, S/  1.49 ,12, S/  17.88 ,,https://clip.com.pe/producto/cola-faber-castell-pega-bien-x110gr-63880
,Cola Faber Castell Pegabien Con Aplicador 250 gr, S/  2.53 ,12, S/  30.36 ,,Cola Faber Castell Pegabien Con Aplicador 225 G
,Cola X 1/2 Kg David, S/  3.96 ,4, S/  15.84 ,,https://clip.com.pe/producto/cola-x-12-kg-david-317
,Cola X 23 Cc David, S/  0.39 ,24, S/  9.36 ,,https://clip.com.pe/producto/cola-x-23-cc-321
,Cola X 250 Gr Pote Layconsa, S/  1.83 ,6, S/  10.98 ,,https://clip.com.pe/producto/cola-x-250-gr-pote-layconsa-5468
,Cola X 35 Gr Faber Castell Pegabien, S/  0.85 ,12, S/  10.20 ,,https://clip.com.pe/producto/cola-x-35-gr-faber-castell-pegabien-379635-75240
,Cola X 60 Cc David, S/  0.64 ,24, S/  15.36 ,,https://clip.com.pe/producto/cola-x-60-cc-david-322
,Colores Largos Artesco Triangulares + Lápices + Sacapuntas X 12 Und, S/  5.15 ,12, S/  61.80 ,,
,Colores Largos Faber Castell Triangulares Clásicos X 12 Und, S/  4.92 ,12, S/  59.04 ,,
,Cuaderno Cuadriculado - Justus,3.5,50, S/  175.00 ,,
